A0548	Mả dỉ tủa rỉa jí chúao moq.	Am I allowed to open the window?				✔️
A0549	Mả dẻq tủa rỉa jí chúao moq.	Am I able to open the window?				✔️
A0550
A0551
A0552
A0553
A0554
A0555
A0556
A0557	Pủ tủa jẻaq dỏq hó póhō jỏqkīaq da.	He cut his hair.
A0558	Pủ dủasūe mảnē mảo tảoshāo fả jí hó da.	I asked him whether he intended to go as well.
A0559	Pủ dủasūe jí hó mâ mảo tảoshāo fả hó da.	I asked him whether he intended to go as well.
A0560	Mả dủe pójī kủqtōaı moq?	Are my sentences correct?
A0561	Chẻo púqhō lî ja dỏ bı dủa ja rảı chûfāq rủaqhūı dó da.	They know that each other is lying.
A0562	Fỉeq sa pủı tỏaqpōq sa tỏa.	Many Toaqians create words.
A0563	Shẻo jí lî pủ rủo ja rảı hı rảı da.	I'm sorry for my behavior.
A0564	Shảı mẻo súq ba.	Stop being sad.
A0565	Kảqsī jí sa kỉq rào nídāq.	I'm watching a movie now.
A0566	Bủ tẻoqkūq kùı hı rảı moq?	Why don't you ask?
A0567	Pủ tẻoqkūq jí cu hó mó «mả tỉaq baq mủao moq?» teo da.	I asked him "Are trees brown?"
A0568	Lủı bẻo mỉu jí da.	I've changed my mind.				✔️
A0569	Pủ bẻo súq kîaqrēo.	You turned red.				❌
A0570	Mủa kủqtōaı mó Pủ bẻo súq kîaqrēo teo da.	"You changed my mind" is an examplr sentence.				❌
A0571	Kảı súq sa mủa la sủe ba.	Write an example please.				❗
A0572	Pủ jủoq rủaq ★ súq jéo hó da.	You should have told him the truth. [ruaq3?]				❗
A0573	Jủoq bủ mẻo jí kèorū jêojēo mẻo.	I shouldn't be sad but I indeed am.				✔️
A0574	Tảodūa gủsīoqfā súq, mã jẻo moq.	You know how to bike, isn't it?				✔️
A0575	Púqhō pa chẻo bủ bỉaq dẻoq da.	They don't communicate enough.				✔️
A0576	Lẻo chẻo dẻoq tu pỏq ba.	All people should try to communicate.				❌
A0577	Tỉo sảo máq moq.	How big is it?				✔️
A0578	Bủ dủa jí tîo sảo máq da.	I don't know how big it is.
A0579	Co rảı pa mu rảqdūa súq moq?	How much do you know?
A0580	Dủa jẽo jí dûa súq co rảı da.	I do know how much you know.
A0581	Hỉaı súq kùı hı rảı moq.	Why are you laughing?
A0582	Pủ kủq hó mó « Gẻqkūaı jí pójī lỉqpāo da » teo da.	He said «I miss my mom»
A0583	Chỏa súq dĩa lảqcāı ba.	Talk less loudly.				✔️
A0584	Chỏa súq jẽaq mẻoq ba.	Talk more slowly.				✔️
A0585	Chủfāq mỉeq jí nê bủaı ja rảı tóqfūa da.	I'm measuring the length of the table.		✔️
A0586	Chủfāq mỉeq nẻ bủaı jí tóqfūa da.	I'm measuring the length of the table.		✔️
A0587	Rỏq súq kùı hı moq.	Why are you crying?		✔️
A0588	Hè tôe há baq kẻpā bı rỏq da.	Cutting onions causes weeping.		✔️
A0589	Rào mûaqshō hó bı, hảı lủı tảo jủq củe púq lủaıchē da.	By the time of his death, the clowns had already taken power.		✔️
A0590	Mả bỉaq dảqjāq nủo súq moq.	Have you slept long enough?		✔️
A0591	Sỉu mủ nỏqsē baq sẻpē baq gỏsō da.	The taste of snake is similar to that of chicken.		✔️	!	!
A0592	Nîqdāo sıa rảı pa gỉ nỉqdāo da.	No news is good news.		✔️		✔️
A0593	Chỉa jí lî sỏa súq da.	I need your help.		✔️
A0594	Shỏe sỏa súq jí súq ba.	Let me help you.		✔️
A0595	Shỏe súq sôa jí súq ba.	Let me help you.		✔️
A0596	Shỏ déo sûaıkōı shỏı jẻaq tỉjāo da.	The child ran away screaming.		✔️
A0597	Tủa sỉq súq múq ba.	Clean (your) hands.		✔️
A0598	Kỉejīshē hẻaqdōa súq kéaqsāı jí ba.	Please, hand me the salt.		✔️
A0599	Tảq rủaq fủ ní lỉqdēo súq da.	This girl said she was your daughter.		✔️
A0600	Gỉ ní nỉaq ba!	Happy new year!		✔️
A0601	Gỉ jíuchāq ba!	Happy birthday!		✔️
A0602
A0603
A0604
A0605	Mả shỏe dẻoq súq jí súq moq.	Do you allow me to talk to you?
A0606	Tỉjāı jí súq da.	I'm happy you are here.
A0607	Pủ chủı tủa dủa súq jí ba!	You should have told me sooner!
A0608	Bủ hỉaorīeq jí ba.	I mustn't run away.
A0609	Kủaq shẻo tủa gỉq fỏaq jí súq ka.	Sorry for making you uncomfortable.
A0610	Sỏq hủı hı rảı lú tảo hó hóa moq?	What's the worst thing he has done?
A0611	Mả sỏq hủı ku lî shỏı kủq ja dỏ cu sa dẻo moq?	Was yelling at a child the worst thing?
A0612	Chỉaı da; pủ tảo hó hóq, keo bủ sỏq hủı da.	Wrong; he did that, but it wasn't the worst thing.
A0613	Mả sỏq hủı ku lî mủaqtūa ja pỏq sa hẻo moq?	Was killing somebody (else) the worst thing?
A0614	Sỏq hủı jẽo hóq, ão!  Keo bủ tảo hó da.  Chỉaı!	That would truly be the worst!  But, he never did it.  Wrong!
A0615	Mả sỏq hủı ku lî hủıbōnūa ja pỏq moq?	Was stealing the worst thing?
A0616	Dủe hóq da!	That's right!
A0617	Pảq co shỉaq baq kủnē, shè rûaq shỉaq jí húoı moq?	How many legs does a dog have, if I say that the tail is a leg?
A0618	Pảq go hó sa jỏ shỉaq da.	It has four legs.
A0619	Chỉaı pó súq da.  Jẻo jô shíaq, keo dủe fê shíaq na shẽ hảo da.	You(r answer) is wrong.  It's true that there are four legs, but in this case it's correct to say there are five.
A0620	Je, dủe jìe jí ku jô da.	Well, I think four is correct.
A0621	Baq bỉrā pa, m, lủ… hẻ cả pîe há sa dủımē hỏa na rûo dủahūı há da.	Now, beer is, um… stuff that, when people drink too much of it, they act foolish.
A0622	Káqdēqbū roı Hoáqbēaq, la chủa da.	The Blind Person and the Candle (this sentence is its name.)
A0623	Bủ tảq shảo fảgāq hó, la củakūqsē da.	She doesn't want to tag along (this sentence is (her) reply.)
A0624	Je, bủ fỏqcūa hó, tıu lẻ rảrā mủaq hó, la bủoq da.	Well, he won't answer the phone, so he's probably dead or something (this sentence is non-serious.)
A0625	La hỉaodāırūaqsē na: dảı hẻq go tóaı hěa kásī da.	Warning: may contain trace amounts of nuts.
A0626	Jủoq jẻaqdōa jí ku co nỏaı moq?	How much milk is it that I should add?
