A0005	Bủa súq tì hı moq.	Where do you live?		✔️	✔️	✔️
A0025	Chủq jí rào níchāq sa cỉe da.	I ate some fish today.		✔️	✔️	❓
A0035	Dảqfāı chủqkūaı jí da.	It's often the case that I'm hungry.		✔️	✔️	✔️
A0043	Chỉe jí rào tu chảq sa nïq da.	I learn something new every day.		✔️	❌	❓
A0050	Mủoq shỉa máq da.	It's made of glass.		✔️	?
A0053	Jỉa tỉ dãı jí ríaq da.	I may be there in the future.		✔️	✔️
A0092	Mả pủa hủosī súq baq gỉaq moq.	Do you enjoy listening to music?
A0093	Pủa hủosī jí baq gỉaq jãq da.	I really enjoy listening to music.
A0097	Chỏ jí lû rào baq lủ gủo hóa nûo jí bı gẻı jí sıa da.	I like the fact that when I sleep, I wear nothing.
A0100	Sa gẻo pỏq pa pủa chủq baq gủı da.	Some old people like to eat grains.
A0116	Jẻa bỏ hó tì jéarīaq sa hảq da.	He buys some food at the store.		✔️	✔️
A0118	Kùı hı bı beı chỏaıjāq ní hảq moq.	Why is this food so expensive?		✔️	?
A0124	Bủ hủı hóı chỏaqjīo da.	The afermentioned hotel isn't bad.		✔️	✔️
A0126	Baq ẻlū bı bủaı húohūa pỏ máq da.	About elephants: they have long ears.
A0133	Bũ rào pú bı hỉo hó jí da.	He didn't greet me.		✔️	!					Ilmen
A0135	Bủa hó Mérīkā da.	He lives in America.		✔️	❌					Ilmen
A0136	Bủ dủa jí tî pójī jảokūq hı da.	I don't know where my phone is.		✔️	✔️
A0137	Mả lủı tỉdūashō súq pójī jảokūq moq.	Have you found my phone?		✔️	✔️
A0138	Bủ pỏjī jảokūq ní da.	This is not my phone.		✔️	✔️
A0146	Mả chỏ súq baq jỏjūe moq.				❌
A0164	Tảo súq rào jíachāq hı moq.	What are you doing tommorow?		✔️	✔️
A0172	Jảq dẻ baq rủa jìe hó da.	The flowers are very beautiful to him.			baq
A0179	Hẻ lủerēo baq mảojā da.	Bananas are yellow.			baq
A0180	Dỏa bỏ súq lúerēo jí ba.	Give me the yellow thing.		✔️	❌
A0182	Chỏaqfā hó rào pújōa jí da.	He visited me last week.		✔️	✔️
A0187	Jỏaı sủq jí da.	I'm looking for you.		✔️	✔️
A0195	Bủ pỉe déo sa kảfē ba.	May the child not drink coffee.		✔️	❌
A0220	Kảqsī hó dùoı sa shỉ hỏrā baq pủao da.	He looks at clouds for an hour.		✔️	?
A0234	Mả pủ chỏ súq póhō kủa moq.	Did you like his room?		❌	✔️
A0235	Kủaq kỉe súq hó ba.	Be thankful towards him.		✔️	❌
A0236	Kủaq kỉe jí ka.	I hereby thank.		✔️	❌
A0238	Kủaq shẻo jí ka.	I hereby apologize.		✔️	?
A0246	Fả súqjī sa kỉqjīo ba.	Go to a movie theater.		✔️	✔️
A0247	Bủ chỏ jí máq kỉq da.	I don't like this movie.		✔️	❌
A0251	Dảqfāı lû pójī kỏqpīutā pa sủo da.	My computer is often broken.		✔️	❌
A0261	Dủa jí tâo jí rào lúechāq hı da.	I know what I did on Wednesday.		✔️	✔️
A0268	Dủa jí tâo súq hı rảı rào dáqfīa lỏqcāo da.	I know what you did last summer.		✔️	✔️
A0269	Sa pỏq pa fả rào tu lỏachāq sa jỉaojīo da.	Some people visit a church every Sunday.		✔️	✔️
A0272	Lú lẻaqbūa hóa jí pa pảo sa sảq fủ da.	My neighbors are parents of 3.		✔️	✔️
A0273	Pảı pójī lẻaqbūa jí da.	My neighbors are my friends.		✔️	✔️
A0276	Tảq mảı ba.	Love yourself.		✔️	❌
A0279	Mả jỏe súq pó shú ‹tủa› moq.	Do you understand "tua"?		✔️	❌
A0282	Mả pảı hó mí Lỉ moq.	Is he friends with Lee?		✔️	❌
A0283	Mỏaq súq hı lủ rảq hóa hoı chảq moq.	What do you remember of that day?		!	✔️
A0286	Mả mỉ Lỉ súq moq.	Are you Lee?		✔️	❌
