A0074	Fả súq náokūa ba.	Visit the bathroom.		✔️	❌
A0144	Dảqshīu baq sảqjūe sa nẻı mẻahēo jëq hóa hóı lî pảq ja hı nỉaq da.	A March comes before nine other months of the same year. 			?
A0145	Cúaq jỏjūe bı cả mỏı pó máq jí baq dủao ra rủa da.	Do you like April?			❌
A0149	Dảqfāı rủaq jí âı baq cỉjūe nárāq da.	I often say that June is the orange month.
A0150	Tu shỉ cỉjūe cëo chỉe jí sıa tỏaq rào hóa pa hủı da.	A June in which I don't start learning a new language is bad.		✔️	!
A0152	Cúaq dỉaıjūe pa jảq sủao jìe pójī nảqpāo da.	July is very important to my dad.		✔️	❌
A0154	Rỉu dủq chỉe jí rào baq rỏaıjūe da.	I generally go back to school in August.			?
A0155	Bòı néıjūe bı, dủq chỉe jí da.	Starting September, I'll be going to school.		✔️
A0156	Ku néıjūe pa	It's September that		✔️
A0157	Mí Hảlō'īq pa, rảo hı chảq pảq hẻıjūe moq?	Halloween… which day of October is that?		✔️		!
A0158	Túqsīe da.	It's the last one.		✔️
A0159	Ỏ, hảı hẻıshījūe da!	Whoa, it's already November!		✔️
A0161	Tủqsīe héıgūjūe júe da.	December is the last of the months.		✔️
A0162	Dảqfāı kỏa río baq hẻıgūjūe da.	It is usually cold in December.
A0181	Nỏalīe hó pó ní jỏa da.	He is frustrated about this week.		✔️	?
A0185	Rảo tu jóafāo sa mỉochāq roı sa lỏachāq da.	It is the weekend on every Saturday and Sunday.		✔️	?
A0193	Hủaqchō súq baq kảfē rı chảı moq.	Do you prefer coffee or tea?		✔️	❌
A0202	Nảı jẻaq gỉ lúa da.	The story gets better.		✔️	❌
A0214	Kùı nâı jéaqcāo bı cẻo rûa tì sa pủı da.	Because it's spring, flowers are popping up all over the place.		✔️	❌
A0216	Lủ bảı lũı jí hóa na ní da.	This is the thing made by me.		✔️	❌
A0218	Chủfāq pẻo hó mí Sảhārā ga nëaqgūaq da.	He is passing through the Sahara desert.		✔️	?
A0226	Bủ dẻq kảı jí láı da.	I can't write letters (of the alphabet).		✔️	❌
A0231	Fỏaq baq nìe ní kủa da.	It's comfortable in this room.		✔️	baq
A0241	Chỏ jí baq kủe kùı pủa lỉechō jí da.	I like books because I enjoy reading.		✔️	baq
A0244	Jảı jí kùı nâı sa kủaochāq da.	I'm happy because it's Friday.		✔️	?
A0249	Kỉe jí rào tu chảq kùı mîe jí da.	I am thankful every day because I'm alive.		✔️	✔️
A0252	Rào kóacāo bı hẻ bảı baq dẻo sa nỉaopōq da.	In winter, children build snowmen.		✔️	❓
A0253	Rào baq kỏacāo bı hẻ shỏ kỏa baq shỉqhūa da.	In winter, one's nose can get cold.		!	baq
A0259	Sỏq nỉo jí túq mẻmēa pỏjī lủo da.	I'm the youngest in my family.		✔️	❌	!
A0265	Rào baq lỏqcāo bı hẻ gẻı jí sıa jảkē da.	I don't wear jackets in the summer.		✔️	baq
A0266	Tảolīe jí rào ní lỏqcāo sa pủı gỉ da.	I'll do a lot of fun things thís summer.		✔️	❌
A0289	Mỏı jí lû bảokīarēo hẻlū da.	I think of there being a pink elephant.		✔️	?
A0295	Dủa jí pû kảqgāı súq hı da.	I know what you saw.		✔️	✔️
A0300	Pủjāo chẻo chỏakōy hó da.	A long time ago they talked to each other.		!	✔️
A0314	Pủ bủaq hó lî mủıdūa sa pỏq pó ja rảı da.	He failed to be understood.			✔️
A0318	Ní nỉaı pa bủa tì tî baq nỉao da.	This animal lives where there is snow.			❌
A0324	Hẻ cả shỏ chủqkūaı chûq da.	Appetite comes with eating.			❌
A0325	Baq nảo dủı sỉq pa bủe sıa cỉe hẽ da.	Water that is too pure is the home of no fish.			baq
