Nr	mı Tỏaq	English	Proofread (by)		✔️	❌	❓	Recorded (by)			
séu	mủa tỏamē (example sentence) 	example translation (mủa tỏaqdōasē)	Hỏemāı	Chảı	Hỏaqgīo	Ilmen	Tảq	Hỏemāı	Tảq	Ilmen	Chảı
A0001	Nủokūaı jí da.	I'm tired.		✔️	✔️						
A0002	Nủokūaı súq da.	You are tired.		✔️	✔️						
A0003	Nủokūaı hó da.	They are tired.		✔️	✔️						
A0004	Mả nủokūaı súq moq.	Are you tired?		✔️	✔️						
A0005	Bủa súq tì hı moq.	Where do you live?		✔️	✔️	✔️					
A0006	Tỉ hó ní da.	They are here.		✔️	✔️	✔️					
A0007	Bủ tỉ hó ní da.	They are not here.		✔️	✔️	✔️					
A0008	Bủajīo máq da.	It's a house.		✔️	✔️	✔️					
A0009	Mả bủajīo ní moq.	Is this a house?		✔️	✔️	✔️					
A0010	Tỉ déo hı moq.	Where are the children?		✔️	✔️	✔️					
A0011	Bủ nỉe déo búajīo da.	The children are not inside the house.		✔️	✔️	✔️					
A0012	Bủı déo búajīo da.	The children are outside the house.		✔️	✔️	✔️					
A0013	Jảq pỉekūaı jí da.	I'm very thirsty.		✔️	✔️	✔️					
A0014	Mả pỉekūaı súq moq.	Are you thirsty?		✔️	✔️	✔️					
A0015	Pỉe súq ba.	Drink!		✔️	✔️	✔️					
A0016	Chỏ jí baq nảo da.	I like water.				✔️					
A0017	Bủ chỏ jí baq bỉrā da.	I don't like beer.				✔️					
A0018	Bỉa hó da.	He is sick.		✔️	✔️	✔️					
A0019	Chủfāq bủa hó sa bỉajīo da.	He is staying at some hospital.		✔️	✔️						
A0020	Mả kỏa ní nảo moq.	Is this water cold?		✔️	✔️	✔️					
A0021	Bủ kỏa máq da.	It is not cold.		✔️	✔️	✔️					
A0022	Chỉ jí hêq náo sa cỉe da.	I believe the water contains some fish.		✔️	✔️						
A0023	Shỉ dẻ cỏa gào náo da.	There is a beautiful bridge above the water. 		✔️	✔️	✔️					
A0024	Dẻ níchāq da.	Today is beautiful.		✔️	✔️	✔️					
A0025	Chủq jí rào níchāq sa cỉe da.	I ate some fish today.		✔️	✔️	❓					
A0026	Kỉachāq níchāq da.	Today is Monday.		✔️	✔️	✔️					
A0027	Kỉarēo pójī kỉaq da.	My hair is red.		✔️	✔️	❓					
A0028	Mả bủaı póhō kỉaq moq.	Is his hair long?		✔️	✔️	✔️					
A0029	Chũfāq bı nủo bébē da.	The baby is sleeping.		✔️	?	✔️					
A0030	Pủ shỏ shỉe bébē da.	The baby woke up.		✔️	✔️	✔️					
A0031	Tỉ go hı sa cỉurīaq moq?	Where is there a toilet?		✔️	?	✔️					
A0032	Chỏ hó cháı da.	He likes the tea.		✔️	✔️	✔️					
A0033	Pủ pủa pỉe jí cháı da.	I enjoyed drinking the tea.		✔️	✔️	✔️					
A0034	Nỏqgī baq chảı da.	Tea tastes good.				✔️					
A0035	Dảqfāı chủqkūaı jí da.	It's often the case that I'm hungry.		✔️	✔️	✔️					
A0036	Dủ chủqkūaı súq da.	You seem hungry.		✔️	✔️	✔️					
A0037	Shảo jí chûq súq ní da.	I want you to eat this.		✔️	✔️	✔️					
A0038	Chủa hı rảı súq moq.	What is your name?		✔️	✔️	✔️					
A0039	Chủa hı rảı ní moq.	What is the name of this?		✔️	✔️	✔️					
A0040	Bủ dủa jí chûa hı rảı ní da.	I don't know what this thing is named.		✔️	✔️	✔️					
A0041	Bủo chúıhāq da.	Breakfast is ready.		✔️	✔️	✔️					
A0042	Fả déo chíejīo ba.	May the child go to the school.		✔️	✔️	✔️					
A0043	Chỉe jí rào tu chảq sa nïq da.	I learn something new every day.		✔️	❌	❓					
